1;百度;http://baidu.com;1;0
2;QQ;http://3g.qq.com/;1;0
3;新浪;http://sina.com;1;0
4;网易;http://163.com;1;0
5;搜狐;http://sohu.com;1;0
6;淘宝;http://taobao.com;1;0
7;优酷;http://m.youku.com/;1;0
8;人人网;http://renren.com;1;0
9;谷歌;http://google.cm;1;0
10;京东商城;http://m.360buy.com/index.html?v=t;1;0
11;天气预报;http://wap.weather.com.cn/wap/;2;0
12;历史今天;http://wap.weather.com.cn/wap/today.shtml;2;0
13;火车票;http://wap.huochepiao.com/;2;0
14;订机票;http://wap.qunar.com/index.jsp?v=2;2;0
15;翻译辞典;http://dict.youdao.com/m;2;0
16;地图;http://map.baidu.com/;2;0
17;快递查询;http://wap.kuaidi100.com/;2;0
18;常用电话;http://m.hao123.com/n/v/dianhua;2;0
19;手机归属;http://wap.ip138.com/sim.html;2;0
20;公交查询;http://wap.8684.cn/bus.php;2;0
21;万年历;http://365rili.duapp.com/;2;0
22;新浪邮箱;http://mail.sina.com.cn/;3;0
23;163邮箱;http://mail.163.com/;3;0
24;126邮箱;http://www.126.com/;3;0
25;QQ邮箱;http://mail.qq.com/cgi-bin/loginpage;3;0
26;HotMail;http://live.com;3;0
27;Gmail;http://gmail.com/;3;0
28;139邮箱;http://mail.10086.cn/;3;0
29;189邮箱;http://webmail9.189.cn/webmail/;3;0
30;雅虎邮箱;http://mail.cn.yahoo.com/;3;0
31;搜狐邮箱;http://mail.sohu.com/;3;0
32;新浪微博;http://weibo.cn/pub/;4;0
33;腾讯微博;http://ti.3g.qq.com/g/index.jsp?from=wap3g&sid=00;4;0
34;网易微博;http://3g.163.com/t/m/login;4;0
35;搜狐微博;http://t.sohu.com;4;0
36;凤凰微博;http://m.t.ifeng.com/;4;0
37;人民微博;http://t.people.com.cn/;4;0
38;轻微博;http://qing.weibo.com/;4;0
39;新浪博客;http://blog.sina.cn/;4;0
40;点点轻博;http://www.diandian.com/;4;0
41;QQ空间;http://pt.3g.qq.com/s?aid=nLoginqz&sid=AQJ2SlmOxfr5Pzx4F_BkE_yN&KqqWap_Act=3&g_ut=2&go_url=http%3A%2F%2Fz.qq.com%2Findex.jsp;4;0
42;网易新闻;http://3g.163.com/news/;5;0
43;新浪新闻;http://sina.cn/nc.php;5;0
44;凤凰网;http://i.ifeng.com/news/newsi?;5;0
45;环球网;http://wap.huanqiu.com/;5;0
46;人民网;http://wap.people.com.cn/;5;0
47;CCTV;http://wap.cctv.com/xinwen/node_186.htm;5;0
48;百度新闻;http://wap.baidu.com/ssid=0/from=0/bd_page_type=1/uid=wiaui_1333015499_7769/pu=sz%40224_220/news?idx=20000&itj=22;5;0
49;新华网;http://m.news.cn/;5;0
50;大河网;http://3g.dahe.cn/;5;0
51;腾讯新闻;http://info.3g.qq.com/g/s?&aid=template&g_ut=2&;5;0
52;互联星空;http://wap.vnet.mobi/big/index.jsp;5;0
53;新浪财经;http://finance.sina.cn/;6;0
54;搜狐财经;http://m.sohu.com/c/5/?jumpfrom=sohu_wap;6;0
55;东方财富;http://wap.eastmoney.com/;6;0
56;金融界;http://m.jrj.com.cn/;6;0
57;和讯财经;http://wap.hexun.com/2.0/index.wml;6;0
58;同花顺;http://wapyd.hexin.cn/;6;0
59;大智慧;http://wap.gw.com.cn/;6;0
60;凤凰财经;http://i.ifeng.com/finance/financei?vt=2;6;0
61;网易财经;http://3g.163.com/money/;6;0
62;华讯财经;http://wap.591hx.com/;6;0
63;新浪股票;http://finance.sina.cn/?sa=d13t60v512&vt=3&pos=21;6;0
64;21世纪;http://m.21cbh.com/;6;0
65;新浪军事;http://mil.sina.cn/;7;0
66;铁血军事;http://m.tiexue.net/3g/;7;0
67;环球网;http://wap.huanqiu.com/pd.html?id=23;7;0
68;凤凰网;http://i.ifeng.com/mil/mili;7;0
69;搜狐军事;http://m.sohu.com/c/8/?jumpfrom=sohu_wap;7;0
70;西陆网;http://gate.baidu.com/pn=7/bd_page_type=1/pu=0/tc?&m=0&src=junshi.xilu.com/;7;0
71;国际观察;http://3g.tianya.cn/bbs/list.jsp?idwriter=0&key=0&item=worldlook;7;0
72;国防部;http://wap.mod.gov.cn/;7;0
73;中华军事;http://3g.china.com/mili/;7;0
74;人民网;http://wap.people.com.cn/channel.php?sid=&chid=1_11&wv=2&v=l&fromid=&uc_param_str=dnup;7;0
75;腾讯军事;http://info.3g.qq.com/g/s?sid=%20&icfa=mili_h&aid=mili_h&g_ut=2&;7;0
76;新浪体育;http://sports.sina.cn/;8;0
77;网易体育;http://3g.163.com/sports/;8;0
78;直播吧;http://www.zhibo8.cc/;8;0
79;搜狐体育;http://m.sohu.com/c/3/?v=2;8;0
80;虎扑;http://m.hupu.com/nba/;8;0
81;凤凰体育;http://i.ifeng.com/sports/sportsi;8;0
82;优酷体育;http://m.youku.com/wap/eachchannel?cid=98;8;0
83;NBA直播;http://ds.3g.cn/nbalive/index.html;8;0
84;直播时间表;http://dp.sina.cn/dpool/sports/tvlist/index.php?sid=112977&vt=3;8;0
85;3G足球;http://sports.3g.cn/Soccer3G.php;8;0
86;腾讯体育;http://info.3g.qq.com/g/s?aid=sports_h&g_ut=2&;8;0
87;CCTV;http://wap.cctv.com/;8;0
88;球探网;http://3g.bet007.com/;8;0
89;优酷;http://m.youku.com/wap/;9;0
